******************** Server experiments
fac          CFA  #96      flow-time 22      called 1   pure 1  obs 0  proc 0  | 40320
fac          FA   #25      flow-time 6       called 1   pure 1  obs 0  proc 0  | #<set: NUM>
fac          LA   #25      flow-time 5       called 1   pure 1  obs 0  proc 0  | #<set: NUM>
fac          LSF  #25      flow-time 5       called 1   pure 1  obs 0  proc 0  | #<set: NUM>
fib          CFA  #701     flow-time 158     called 1   pure 1  obs 0  proc 0  | 21
fib          FA   #83      flow-time 75      called 1   pure 1  obs 0  proc 0  | #<set: NUM>
fib          LA   #67      flow-time 36      called 1   pure 1  obs 0  proc 0  | #<set: NUM>
fib          LSF  #67      flow-time 35      called 1   pure 1  obs 0  proc 0  | #<set: NUM>
fib-mut      CFA  #188     flow-time 39      called 2   pure 1  obs 0  proc 1  | 21
fib-mut      FA   #51      flow-time 19      called 2   pure 1  obs 0  proc 1  | #<set: NUM>
fib-mut      LA   #51      flow-time 14      called 2   pure 1  obs 0  proc 1  | #<set: NUM>
fib-mut      LSF  #51      flow-time 14      called 2   pure 1  obs 0  proc 1  | #<set: NUM>
blur         CFA  #43      flow-time 8       called 3   pure 3  obs 0  proc 0  | #t
blur         FA   #73      flow-time 34      called 3   pure 3  obs 0  proc 0  | #<set: BOOL>
blur         LA   #69      flow-time 34      called 3   pure 3  obs 0  proc 0  | #<set: BOOL>
blur         LSF  #69      flow-time 28      called 3   pure 3  obs 0  proc 0  | #<set: BOOL>
eta          CFA  #26      flow-time 2       called 4   pure 4  obs 0  proc 0  | #f
eta          FA   #26      flow-time 3       called 4   pure 4  obs 0  proc 0  | #<set: BOOL>
eta          LA   #30      flow-time 4       called 4   pure 4  obs 0  proc 0  | #<set: BOOL>
eta          LSF  #30      flow-time 4       called 4   pure 4  obs 0  proc 0  | #<set: BOOL>
mj09         CFA  #29      flow-time 3       called 4   pure 4  obs 0  proc 0  | 2
mj09         FA   #26      flow-time 8       called 4   pure 4  obs 0  proc 0  | #<set: NUM>
mj09         LA   #19      flow-time 4       called 4   pure 4  obs 0  proc 0  | #<set: NUM>
mj09         LSF  #19      flow-time 3       called 4   pure 4  obs 0  proc 0  | #<set: NUM>
gcipd        CFA  #91      flow-time 23      called 3   pure 3  obs 0  proc 0  | 36
gcipd        FA   #67      flow-time 35      called 3   pure 3  obs 0  proc 0  | #<set: NUM>
gcipd        LA   #67      flow-time 26      called 3   pure 3  obs 0  proc 0  | #<set: NUM>
gcipd        LSF  #67      flow-time 25      called 3   pure 3  obs 0  proc 0  | #<set: NUM>
kcfa2        CFA  #41      flow-time 3       called 3   pure 3  obs 0  proc 0  | #f
kcfa2        FA   #37      flow-time 8       called 3   pure 3  obs 0  proc 0  | #<set: BOOL>
kcfa2        LA   #33      flow-time 7       called 3   pure 3  obs 0  proc 0  | #<set: BOOL>
kcfa2        LSF  #33      flow-time 5       called 3   pure 3  obs 0  proc 0  | #<set: BOOL>
kcfa3        CFA  #61      flow-time 5       called 4   pure 4  obs 0  proc 0  | #f
kcfa3        FA   #61      flow-time 9       called 4   pure 4  obs 0  proc 0  | #<set: BOOL>
kcfa3        LA   #61      flow-time 6       called 4   pure 4  obs 0  proc 0  | #<set: BOOL>
kcfa3        LSF  #61      flow-time 6       called 4   pure 4  obs 0  proc 0  | #<set: BOOL>
rotate       CFA  #336     flow-time 49      called 1   pure 1  obs 0  proc 0  | hallo
rotate       FA   #41      flow-time 10      called 1   pure 1  obs 0  proc 0  | #<set: NUM STR BOOL>
rotate       LA   #32      flow-time 5       called 1   pure 1  obs 0  proc 0  | #<set: NUM STR BOOL>
rotate       LSF  #32      flow-time 5       called 1   pure 1  obs 0  proc 0  | #<set: NUM STR BOOL>
loop2        CFA  #1348    flow-time 307     called 3   pure 3  obs 0  proc 0  | 550
loop2        FA   #47      flow-time 37      called 3   pure 3  obs 0  proc 0  | #<set: NUM>
loop2        LA   #47      flow-time 33      called 3   pure 3  obs 0  proc 0  | #<set: NUM>
loop2        LSF  #26      flow-time 11      called 3   pure 3  obs 0  proc 0  | #<set: NUM>
sat          CFA  #77      flow-time 17      called 7   pure 7  obs 0  proc 0  | #t
sat          FA   #250     flow-time 811     called 7   pure 7  obs 0  proc 0  | #<set: BOOL>
sat          LA   #227     flow-time 421     called 7   pure 7  obs 0  proc 0  | #<set: BOOL>
sat          LSF  #176     flow-time 105     called 7   pure 7  obs 0  proc 0  | #<set: BOOL>
collatz      CFA  #777     flow-time 292     called 5   pure 5  obs 0  proc 0  | 5
collatz      FA   #464     flow-time 1291    called 5   pure 5  obs 0  proc 0  | #<set: NUM>
